Proporsi penghapusan,Random Forest,Accuracy SISA,Accuracy DaRE,Time Base,Time SISA,Time DaRE,Accuracy Base
0.0069,,0.9444444444444444,0.9444444444444444,0.05797266960144043,0.03804183006286621,0.0,0.9722222222222222
0.0139,,0.9444444444444444,0.9444444444444444,0.041703224182128906,0.03329062461853027,0.0,0.9722222222222222
0.0208,,0.9444444444444444,0.9444444444444444,0.041543006896972656,0.03423762321472168,0.0,0.9166666666666666
0.0278,,0.9444444444444444,0.9444444444444444,0.0413055419921875,0.035837411880493164,0.0,0.9444444444444444
0.0347,,0.9444444444444444,0.9444444444444444,0.041715145111083984,0.03504037857055664,0.0,0.9722222222222222
0.0417,,0.9444444444444444,0.9444444444444444,0.04086136817932129,0.03451800346374512,0.0,0.9444444444444444
0.0486,,0.9444444444444444,0.9444444444444444,0.0416417121887207,0.03465104103088379,0.0,0.9722222222222222
0.0556,,0.9166666666666666,0.9444444444444444,0.042382240295410156,0.038344383239746094,0.006742715835571289,0.9444444444444444
0.0625,,0.9166666666666666,0.9444444444444444,0.03496217727661133,0.0348050594329834,0.0066738128662109375,0.9444444444444444
0.0694,,0.9166666666666666,0.9444444444444444,0.041849613189697266,0.034607648849487305,0.0,0.9444444444444444
0.0764,,0.9166666666666666,0.9444444444444444,0.041524410247802734,0.03501749038696289,0.0,0.9444444444444444
0.0833,,0.9166666666666666,0.9444444444444444,0.04129910469055176,0.032686471939086914,0.0,0.9722222222222222
0.0903,,0.9722222222222222,0.9444444444444444,0.04139399528503418,0.034667253494262695,0.0,0.9722222222222222
0.0972,,0.9722222222222222,0.9444444444444444,0.03493952751159668,0.03684043884277344,0.0,0.9444444444444444
0.1042,,0.9722222222222222,0.9444444444444444,0.034637451171875,0.03473472595214844,0.0,0.9444444444444444
0.1111,,0.9722222222222222,0.9444444444444444,0.03484201431274414,0.034633636474609375,0.0,0.9722222222222222
0.1181,,0.9722222222222222,0.9444444444444444,0.03814697265625,0.041356801986694336,0.0,0.9722222222222222
0.125,,0.9722222222222222,0.9444444444444444,0.03472590446472168,0.03478646278381348,0.0,0.9722222222222222
0.1319,,0.9722222222222222,0.9444444444444444,0.04173469543457031,0.032521963119506836,0.006336212158203125,0.9722222222222222
0.1389,,0.9722222222222222,0.9444444444444444,0.0346379280090332,0.03475785255432129,0.0,0.9722222222222222
0.1458,,0.9444444444444444,0.9444444444444444,0.04182887077331543,0.03461265563964844,0.0,0.9722222222222222
0.1528,,0.9444444444444444,0.9444444444444444,0.034476280212402344,0.02957916259765625,0.0,0.9722222222222222
0.1597,,0.9444444444444444,0.9444444444444444,0.034342050552368164,0.034867048263549805,0.0068814754486083984,0.9722222222222222
0.1667,,0.9166666666666666,0.9444444444444444,0.034571170806884766,0.03387856483459473,0.007019519805908203,0.9722222222222222
0.1736,,0.9166666666666666,0.9444444444444444,0.03316450119018555,0.03494071960449219,0.0,0.9722222222222222
0.1806,,0.9444444444444444,0.9444444444444444,0.04170680046081543,0.03459811210632324,0.0,0.9722222222222222
0.1875,,0.9444444444444444,0.9444444444444444,0.034729957580566406,0.034906625747680664,0.0,0.9722222222222222
0.1944,,0.9722222222222222,0.9444444444444444,0.03478050231933594,0.034555673599243164,0.0,0.9722222222222222
0.2014,,0.9444444444444444,0.9444444444444444,0.034683942794799805,0.027684450149536133,0.0,0.9722222222222222
0.2083,,0.9444444444444444,0.9444444444444444,0.034792184829711914,0.0344843864440918,0.0,0.9444444444444444
0.2153,,0.9444444444444444,0.9444444444444444,0.041561126708984375,0.034914493560791016,0.0,0.9444444444444444
0.2222,,0.9444444444444444,0.9444444444444444,0.03502082824707031,0.034560441970825195,0.0,0.9444444444444444
0.2292,,0.9722222222222222,0.9444444444444444,0.035239458084106445,0.0276334285736084,0.00026679039001464844,0.9722222222222222
0.2361,,0.9722222222222222,0.9444444444444444,0.034738779067993164,0.03480720520019531,0.0,0.9444444444444444
0.2431,,0.9722222222222222,0.9444444444444444,0.0349273681640625,0.03473210334777832,0.0,0.9722222222222222
0.25,,0.9722222222222222,0.9722222222222222,0.03457188606262207,0.0383758544921875,0.007021665573120117,0.9722222222222222
0.2569,,0.9722222222222222,0.9722222222222222,0.0346677303314209,0.03466057777404785,0.0,0.9722222222222222
0.2639,,0.9722222222222222,0.9722222222222222,0.041565895080566406,0.035894155502319336,0.0004093647003173828,0.9722222222222222
