Iteration,Accuracy,Time
1,0.9259259259259259,0.0
2,0.9444444444444444,0.0
3,0.9444444444444444,0.0
4,0.9444444444444444,0.0010006427764892578
5,0.9629629629629629,0.006913185119628906
6,0.9629629629629629,0.0
7,0.9629629629629629,0.0
8,0.9629629629629629,0.0
9,0.9629629629629629,0.0
10,0.9629629629629629,0.0
11,0.9629629629629629,0.0
12,0.9629629629629629,0.0
13,0.9629629629629629,0.0
14,0.8888888888888888,0.0
15,0.8888888888888888,0.0
16,0.8888888888888888,0.0
17,0.8888888888888888,0.0
18,0.8888888888888888,0.0
19,0.9074074074074074,0.0
20,0.8703703703703703,0.0
21,0.8703703703703703,0.0
22,0.8703703703703703,0.0
23,0.8888888888888888,0.0
24,0.8888888888888888,0.0
25,0.9444444444444444,0.0
26,0.9259259259259259,0.0
27,0.9259259259259259,0.0
28,0.8888888888888888,0.0
29,0.9814814814814815,0.0
30,0.9814814814814815,0.0
31,0.9814814814814815,0.0
32,0.9444444444444444,0.0
33,0.9814814814814815,0.0
34,0.9814814814814815,0.0
35,0.9814814814814815,0.0
36,0.9814814814814815,0.0
37,0.9814814814814815,0.0
38,0.9814814814814815,0.0
39,0.9444444444444444,0.0
40,0.9444444444444444,0.0
41,0.9814814814814815,0.0
42,0.9814814814814815,0.0
43,0.9814814814814815,0.0
44,0.9814814814814815,0.0
45,0.9444444444444444,0.0
46,0.9444444444444444,0.0
47,0.9444444444444444,0.0
48,0.9814814814814815,0.001007080078125
49,0.9814814814814815,0.0
50,0.9814814814814815,0.0
51,0.9814814814814815,0.0
52,0.9814814814814815,0.0
53,0.9444444444444444,0.0
54,0.9444444444444444,0.0
55,0.9444444444444444,0.0
56,0.9814814814814815,0.0
57,0.9814814814814815,0.0
58,0.9814814814814815,0.0
59,0.9814814814814815,0.005293607711791992
60,0.9814814814814815,0.0
61,0.9814814814814815,0.0015499591827392578
62,0.9814814814814815,0.0
63,0.9814814814814815,0.0
64,0.9814814814814815,0.0
65,0.9444444444444444,0.0
66,0.9444444444444444,0.0
67,0.9444444444444444,0.0
68,0.9444444444444444,0.0010001659393310547
69,0.9444444444444444,0.0
70,0.9814814814814815,0.0
71,0.9444444444444444,0.0
72,0.9444444444444444,0.0
73,0.9444444444444444,0.0
74,0.9814814814814815,0.0
75,0.9444444444444444,0.0
76,0.9444444444444444,0.0
77,0.9444444444444444,0.003894805908203125
78,0.9444444444444444,0.0006670951843261719
79,0.9444444444444444,0.0
80,0.9444444444444444,0.0006029605865478516
81,0.9444444444444444,0.0
82,0.9444444444444444,0.0010402202606201172
83,0.9444444444444444,0.0011835098266601562
84,0.9444444444444444,0.0007297992706298828
85,0.9444444444444444,0.0007109642028808594
86,0.9444444444444444,0.0005888938903808594
87,0.9444444444444444,0.0
88,0.9444444444444444,0.0
89,0.9444444444444444,0.0
90,0.9444444444444444,0.0
91,0.9444444444444444,0.0
92,0.9444444444444444,0.0
93,0.9444444444444444,0.0
94,0.9444444444444444,0.0005092620849609375
95,0.9444444444444444,0.0
96,0.9444444444444444,0.0011069774627685547
97,0.9444444444444444,0.006327152252197266
98,0.9444444444444444,0.0
99,0.9444444444444444,0.0
100,0.9444444444444444,0.0050013065338134766
101,0.9444444444444444,0.0
102,0.9444444444444444,0.0
103,0.5370370370370371,0.0
104,0.5370370370370371,0.0
105,0.5370370370370371,0.0
106,0.5370370370370371,0.0005700588226318359
107,0.5370370370370371,0.0
108,0.5370370370370371,0.0
109,0.5370370370370371,0.0
110,0.5370370370370371,0.0
111,0.5370370370370371,0.0010592937469482422
112,0.7222222222222222,0.0
113,0.7222222222222222,0.005538463592529297
114,0.7222222222222222,0.0
115,0.9444444444444444,0.0
116,0.9444444444444444,0.0
117,0.48148148148148145,0.0
118,0.48148148148148145,0.0057451725006103516
119,0.48148148148148145,0.0
120,0.48148148148148145,0.0
121,0.48148148148148145,0.0
122,0.48148148148148145,0.0
