Jumlah data,Accuracy,Time
125,0.9629629629629629,0.0009992122650146484
124,0.9629629629629629,0.0019276142120361328
123,0.9629629629629629,0.002893686294555664
122,0.9629629629629629,0.0
121,0.9629629629629629,0.002035856246948242
120,0.9629629629629629,0.004084110260009766
119,0.9629629629629629,0.0006315708160400391
118,0.9629629629629629,0.002074718475341797
117,0.9629629629629629,0.0
116,0.9629629629629629,0.0
115,0.9629629629629629,0.0
114,0.9629629629629629,0.007414579391479492
113,0.9629629629629629,0.002106189727783203
112,0.9629629629629629,0.006171464920043945
111,0.9629629629629629,0.0029921531677246094
110,0.9629629629629629,0.0009989738464355469
109,0.9629629629629629,0.0
108,0.9814814814814815,0.002007722854614258
107,0.9629629629629629,0.0063707828521728516
106,0.9629629629629629,0.0
105,0.9814814814814815,0.0020003318786621094
104,0.9814814814814815,0.006797075271606445
103,0.9814814814814815,0.0
102,0.9814814814814815,0.002004384994506836
101,0.9814814814814815,0.0
100,0.9814814814814815,0.0001366138458251953
99,0.9814814814814815,0.0
98,0.9814814814814815,0.006492137908935547
97,0.9629629629629629,0.0021538734436035156
96,0.9629629629629629,0.0019981861114501953
95,0.9629629629629629,0.0012094974517822266
94,0.9629629629629629,0.0020122528076171875
93,0.9814814814814815,0.0018525123596191406
92,0.9814814814814815,0.003012418746948242
91,0.9814814814814815,0.0068247318267822266
90,0.9814814814814815,0.0
89,0.9814814814814815,0.00443720817565918
88,0.9814814814814815,0.0020225048065185547
87,0.9814814814814815,0.0
86,0.9814814814814815,0.0
85,0.9814814814814815,0.0
84,0.9814814814814815,0.0
83,0.9814814814814815,0.0
82,0.9814814814814815,0.0
81,0.9814814814814815,0.0033173561096191406
80,0.9814814814814815,0.006768465042114258
79,0.9814814814814815,0.0
78,0.9814814814814815,0.0073108673095703125
77,0.9814814814814815,0.0
76,0.9814814814814815,0.0
75,0.9814814814814815,0.0018968582153320312
74,0.9814814814814815,0.0
73,0.9814814814814815,0.0037636756896972656
72,0.9814814814814815,0.007717132568359375
71,0.9814814814814815,0.0
70,0.9814814814814815,0.007720470428466797
69,0.9814814814814815,0.003914594650268555
68,0.9629629629629629,0.0
67,0.9814814814814815,0.0
66,0.9814814814814815,0.0
65,0.9814814814814815,0.0
64,0.9814814814814815,0.015832901000976562
63,0.9814814814814815,0.0
62,0.9814814814814815,0.0
61,0.9629629629629629,0.0023686885833740234
60,0.9629629629629629,0.0
59,0.9629629629629629,0.0
58,0.9629629629629629,0.0
57,0.9629629629629629,0.0
56,0.9629629629629629,0.016249418258666992
55,0.9629629629629629,0.0
54,0.9629629629629629,0.0
53,0.9629629629629629,0.01572585105895996
52,0.9629629629629629,0.0
51,0.9629629629629629,0.014530420303344727
50,0.9629629629629629,0.0
49,0.9629629629629629,0.0
48,0.9629629629629629,0.000530242919921875
47,0.9629629629629629,0.0
46,0.9629629629629629,0.0
45,0.9629629629629629,0.0032129287719726562
44,0.9629629629629629,0.0
43,0.9629629629629629,0.0
42,0.9629629629629629,0.0
41,0.9444444444444444,0.004423618316650391
40,0.9444444444444444,0.0008466243743896484
39,0.9444444444444444,0.0023353099822998047
38,0.9444444444444444,0.0013718605041503906
37,0.9444444444444444,0.0020599365234375
36,0.9259259259259259,0.0017979145050048828
35,0.9259259259259259,0.0017671585083007812
34,0.9259259259259259,0.004492282867431641
33,0.9259259259259259,0.0
32,0.9259259259259259,0.004571437835693359
31,0.9259259259259259,0.0006723403930664062
30,0.9259259259259259,0.005670070648193359
29,0.9259259259259259,0.003926753997802734
28,0.9259259259259259,0.0
27,0.9259259259259259,0.0
26,0.9259259259259259,0.0011067390441894531
25,0.8518518518518519,0.0
24,0.9074074074074074,0.0
23,0.9259259259259259,0.0
22,0.8703703703703703,0.0009996891021728516
21,0.8518518518518519,0.0010023117065429688
20,0.8518518518518519,0.007508516311645508
19,0.8518518518518519,0.0066967010498046875
18,0.8518518518518519,0.005962848663330078
17,0.8888888888888888,0.0
16,0.8333333333333334,0.0
15,0.8333333333333334,0.0
14,0.8518518518518519,0.0
13,0.8333333333333334,0.0
12,0.8333333333333334,0.0010259151458740234
11,0.8333333333333334,0.0
10,0.8148148148148148,0.0070343017578125
9,0.7962962962962963,0.0
8,0.7777777777777778,0.0011136531829833984
7,0.7037037037037037,0.0
6,0.6851851851851852,0.0021767616271972656
5,0.6666666666666666,0.0
