Iteration,Accuracy,Time
1,0.925,0.04840087890625
2,0.925,0.022428512573242188
3,0.925,0.020884037017822266
4,0.95,0.026401281356811523
5,0.925,0.02050495147705078
6,0.925,0.027126789093017578
7,0.925,0.028143882751464844
8,0.925,0.013883113861083984
9,0.95,0.032453060150146484
10,0.95,0.013917922973632812
11,0.95,0.020853757858276367
12,0.95,0.01453852653503418
13,0.95,0.020749330520629883
14,0.95,0.02246832847595215
15,0.95,0.024005413055419922
16,0.95,0.02786874771118164
17,0.975,0.027713298797607422
18,0.975,0.02627849578857422
19,0.975,0.0156252384185791
20,0.95,0.015625953674316406
21,0.95,0.030698776245117188
22,0.975,0.023754119873046875
23,0.975,0.016191482543945312
24,0.95,0.04045248031616211
25,0.95,0.024375200271606445
26,0.9,0.019522905349731445
27,0.925,0.005655765533447266
28,0.925,0.03173947334289551
29,0.925,0.015624284744262695
30,0.925,0.009540081024169922
31,0.9,0.031728506088256836
32,0.925,0.06345248222351074
33,0.925,0.021938800811767578
34,0.925,0.015623331069946289
35,0.925,0.013842105865478516
36,0.925,0.00951695442199707
37,0.925,0.013016939163208008
38,0.925,0.017089366912841797
39,0.925,0.02115774154663086
40,0.925,0.009006023406982422
41,0.925,0.016011476516723633
42,0.925,0.009020090103149414
43,0.925,0.019873619079589844
44,0.925,0.0222628116607666
45,0.975,0.01601409912109375
46,0.975,0.0
47,0.975,0.01562666893005371
48,0.975,0.021149158477783203
49,0.975,0.03136706352233887
50,0.975,0.039473533630371094
51,0.975,0.021136760711669922
52,0.975,0.015659570693969727
53,0.975,0.01562666893005371
54,0.975,0.016536951065063477
55,0.975,0.01563239097595215
56,0.975,0.00974273681640625
57,0.975,0.023030519485473633
58,0.95,0.031136274337768555
59,0.95,0.01562643051147461
60,0.975,0.020572662353515625
61,0.975,0.015009641647338867
62,0.975,0.01625514030456543
63,0.975,0.01670098304748535
64,0.975,0.01562666893005371
65,0.975,0.016010761260986328
66,0.975,0.03230619430541992
67,0.975,0.01562643051147461
68,0.975,0.023991823196411133
69,0.925,0.03627610206604004
70,0.925,0.015623331069946289
71,0.925,0.025632858276367188
72,0.925,0.021648883819580078
73,0.925,0.02378225326538086
74,0.925,0.0156252384185791
75,0.925,0.015625
76,0.925,0.010506391525268555
77,0.9,0.025574207305908203
78,0.9,0.013068675994873047
79,0.9,0.0
80,0.9,0.015626907348632812
81,0.925,0.020288944244384766
82,0.925,0.03791618347167969
83,0.925,0.015624046325683594
84,0.925,0.02617621421813965
85,0.925,0.016013383865356445
86,0.9,0.015625715255737305
87,0.925,0.021132707595825195
88,0.925,0.015633106231689453
89,0.925,0.017636537551879883
90,0.9,0.016586780548095703
91,0.925,0.01562643051147461
92,0.925,0.025463104248046875
93,0.925,0.01563286781311035
94,0.95,0.01601266860961914
95,0.95,0.0156252384185791
96,0.95,0.009891271591186523
97,0.95,0.0
98,0.9,0.016247987747192383
99,0.9,0.025155305862426758
100,0.9,0.015624523162841797
101,0.925,0.012506484985351562
102,0.925,0.016010761260986328
103,0.9,0.025975942611694336
104,0.9,0.031136751174926758
105,0.9,0.015625715255737305
106,0.875,0.015419960021972656
107,0.875,0.016008853912353516
108,0.875,0.020495176315307617
109,0.875,0.0
110,0.825,0.0354158878326416
111,0.825,0.012575864791870117
112,0.825,0.0
113,0.55,0.0278933048248291
114,0.625,0.015625
115,0.575,0.015627622604370117
116,0.575,0.031293630599975586
117,0.575,0.01875019073486328
118,0.525,0.024036884307861328
119,0.525,0.01501321792602539
120,0.475,0.015626192092895508
121,0.475,0.01562356948852539
122,0.475,0.0
123,0.475,0.01562666893005371
124,0.475,0.015505552291870117
125,0.475,0.022132396697998047
126,0.425,0.020830154418945312
127,0.425,0.015633344650268555
128,0.525,0.020407438278198242
129,0.525,0.01863574981689453
130,0.425,0.015624761581420898
131,0.475,0.02112865447998047
132,0.475,0.01563286781311035
133,0.475,0.015631437301635742
134,0.475,0.02164769172668457
135,0.475,0.020156145095825195
136,0.475,0.015624523162841797
137,0.475,0.031769514083862305
138,0.475,0.015634775161743164
139,0.475,0.01601266860961914
140,0.475,0.015624046325683594
141,0.475,0.020151376724243164
142,0.525,0.03125286102294922
143,0.525,0.020920276641845703
144,0.525,0.015636205673217773
145,0.525,0.015507698059082031
146,0.525,0.024756669998168945
147,0.525,0.02045130729675293
148,0.525,0.02763509750366211
149,0.525,0.015505552291870117
150,0.525,0.015622854232788086
151,0.525,0.03125762939453125
152,0.525,0.0
153,0.525,0.015633106231689453
154,0.525,0.012945175170898438
