Jumlah data,Accuracy Base,Accuracy SISA,Accuracy DaRE,Time Base,Time SISA,Time DaRE
107,0.9444444444444444,0.9583333333333334,0.9444444444444444,0.0611422061920166,0.04123878479003906,0.001386880874633789
106,0.9722222222222222,0.9583333333333334,0.9583333333333334,0.04309272766113281,0.035179853439331055,0.0011358261108398438
105,0.9722222222222222,0.9583333333333334,0.9583333333333334,0.040654659271240234,0.039710283279418945,0.0010340213775634766
104,0.9583333333333334,0.9583333333333334,0.9444444444444444,0.04435396194458008,0.033556222915649414,0.0
103,0.9444444444444444,0.9722222222222222,0.9583333333333334,0.041602134704589844,0.03470420837402344,0.0
102,0.9722222222222222,0.9722222222222222,0.9583333333333334,0.041509151458740234,0.034670114517211914,0.0
101,0.9583333333333334,0.9722222222222222,0.9722222222222222,0.0454099178314209,0.041532039642333984,0.0
100,0.9444444444444444,0.9722222222222222,0.9583333333333334,0.05167055130004883,0.034731388092041016,0.015745878219604492
99,0.9583333333333334,0.9583333333333334,0.9722222222222222,0.03992938995361328,0.03726315498352051,0.0
98,0.9444444444444444,0.9305555555555556,0.9722222222222222,0.04180574417114258,0.022193431854248047,0.0
97,0.9166666666666666,0.9166666666666666,0.9722222222222222,0.04294848442077637,0.03504467010498047,0.0
96,0.9166666666666666,0.9027777777777778,0.9583333333333334,0.053708791732788086,0.0337674617767334,0.0010745525360107422
95,0.9444444444444444,0.9166666666666666,0.9722222222222222,0.04137229919433594,0.03245186805725098,0.0
94,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.047246456146240234,0.05333375930786133,0.0
93,0.9166666666666666,0.9166666666666666,0.9722222222222222,0.03830099105834961,0.04773998260498047,0.01575183868408203
92,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.04328346252441406,0.027292728424072266,0.000614166259765625
91,0.9166666666666666,0.9166666666666666,0.9722222222222222,0.04758858680725098,0.026427268981933594,0.0
90,0.9166666666666666,0.9305555555555556,0.9722222222222222,0.05122113227844238,0.03894329071044922,0.0
89,0.9305555555555556,0.9166666666666666,0.9722222222222222,0.04204583168029785,0.03477811813354492,0.0009222030639648438
88,0.9305555555555556,0.9305555555555556,0.9722222222222222,0.03717494010925293,0.04193615913391113,0.0
87,0.8888888888888888,0.9305555555555556,0.9861111111111112,0.034821271896362305,0.03438067436218262,0.003133058547973633
86,0.9027777777777778,0.9027777777777778,0.9722222222222222,0.038873910903930664,0.03492593765258789,0.0
85,0.8888888888888888,0.9166666666666666,0.9722222222222222,0.041527509689331055,0.03487205505371094,0.0015375614166259766
84,0.8888888888888888,0.9027777777777778,0.9861111111111112,0.03002762794494629,0.04455399513244629,0.0
83,0.875,0.9027777777777778,0.9722222222222222,0.034511566162109375,0.04698634147644043,0.0
82,0.9027777777777778,0.9305555555555556,0.9722222222222222,0.041745662689208984,0.04157090187072754,0.0013778209686279297
81,0.9166666666666666,0.9166666666666666,0.9722222222222222,0.03471088409423828,0.035619497299194336,0.0
80,0.9027777777777778,0.8888888888888888,0.9722222222222222,0.04099750518798828,0.04298520088195801,0.007124900817871094
79,0.9444444444444444,0.9305555555555556,0.9722222222222222,0.0401608943939209,0.04201483726501465,0.006656646728515625
78,0.8611111111111112,0.9027777777777778,0.9722222222222222,0.0384211540222168,0.03640604019165039,0.0
77,0.8611111111111112,0.9027777777777778,0.9722222222222222,0.04117441177368164,0.035265445709228516,0.0010039806365966797
76,0.8611111111111112,0.9027777777777778,0.9583333333333334,0.039511680603027344,0.034682512283325195,0.0010042190551757812
75,0.8611111111111112,0.8888888888888888,0.9722222222222222,0.03694438934326172,0.033918142318725586,0.0
74,0.9583333333333334,0.9166666666666666,0.9722222222222222,0.041904449462890625,0.04105353355407715,0.0005052089691162109
73,0.9444444444444444,0.9166666666666666,0.9722222222222222,0.04258847236633301,0.032950639724731445,0.0011098384857177734
72,0.9444444444444444,0.9444444444444444,0.9722222222222222,0.037973642349243164,0.038248538970947266,0.000997781753540039
71,0.9027777777777778,0.8888888888888888,0.9583333333333334,0.0376434326171875,0.035967111587524414,0.0009944438934326172
70,0.9305555555555556,0.9027777777777778,0.9583333333333334,0.038728952407836914,0.03914904594421387,0.0010004043579101562
69,0.9583333333333334,0.8888888888888888,0.9722222222222222,0.03676605224609375,0.04141664505004883,0.006947040557861328
68,0.9027777777777778,0.9305555555555556,0.9722222222222222,0.03235507011413574,0.03275012969970703,0.0
67,0.9444444444444444,0.9444444444444444,0.9722222222222222,0.03838038444519043,0.03597092628479004,0.0010111331939697266
66,0.9583333333333334,0.9444444444444444,0.9583333333333334,0.03626585006713867,0.03422713279724121,0.0009970664978027344
